zcr,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_rolloff,rms_energy,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,label
0.0292134878814734,1112.8715641132037,1604.056016557082,24.89259344209951,1760.74426465205,0.08112182,-448.81583,122.14291,-30.411432,-21.905825,10.613488,4.9884424,6.6401157,4.1155066,-13.603959,-18.944933,-17.177864,-17.49783,-17.041662,-19.493896,-17.205946,-9.20126,-0.19866334,5.8607874,7.8601685,7.5229607,8.683452,non_cough
0.0124569028755868,1050.948040379655,2174.8653262744574,15.97347728114418,1694.4002393265846,0.040163353,-412.30994,130.85251,16.608328,69.69939,54.373753,43.104633,22.234531,7.6023693,7.412012,1.4283918,3.0333796,0.5359843,-8.62991,-6.937414,-1.1476142,-5.5708456,0.19964369,1.0577817,-6.4588537,0.3501835,-0.14264081,non_cough
0.1006902711004273,3195.011947468682,3049.8571384519264,16.93331790274905,5852.706204927885,0.109560564,-293.02173,150.12302,-19.515726,-0.5613565,-15.090172,-8.401019,-28.817797,-2.5967798,7.3745394,-1.9196914,2.3942764,7.8478565,5.950315,-3.206813,-0.5010981,-3.5822392,-4.231604,2.0622592,2.788978,-0.89673704,-0.26743758,non_cough
0.001611328125,1067.6268824334868,2618.3488505869022,12.851744871301827,1894.921875,0.25015825,-320.0207,119.57776,6.2420106,41.371864,32.66008,25.349133,23.334217,16.846434,15.974897,13.495302,10.1040325,9.42508,11.427472,10.879184,10.726569,9.26494,5.624715,2.997437,5.2393694,6.7760887,3.964313,non_cough
0.04412841796875,2770.4530812328053,2867.7779370105213,19.252790401348364,5707.6446533203125,0.16177922,-195.62204,129.60016,-58.906826,52.263382,-26.284466,-20.359173,-5.6103907,-29.068945,-36.20243,-18.684887,-27.09518,-14.126238,7.825397,-2.478972,6.249976,9.515294,-5.330663,1.4462076,-8.028227,-5.2549906,-3.6080844,non_cough
0.0686296114162707,3095.529293842525,3427.04858705909,14.183288918848746,6015.077800252376,0.02752625,-493.76767,148.9933,37.426353,-14.127478,-7.2150607,13.196751,7.718751,1.1934985,3.0373826,9.025143,8.270642,3.4039798,-0.60663277,1.1211379,2.561057,1.4334203,-0.30311444,-0.84820837,0.21332972,1.5809081,1.7762189,non_cough
0.0602372973291173,2252.197102176615,2314.9601558178274,18.594110530087992,4388.741254036599,0.110374205,-204.98447,176.93573,-56.656544,35.869095,-3.3809755,4.387614,4.5801377,-26.676102,5.5158834,-18.487787,-7.6835327,8.753111,-14.313714,-3.9528763,-8.663195,-1.5537385,3.5574312,-7.5101542,0.7684327,-3.6488018,-0.07635465,non_cough
0.3189406622023809,8907.446026651189,4566.605997994465,17.45492675451899,13676.66015625,0.0027373994,-543.5288,-24.456198,-16.633018,20.427435,-29.85559,11.965256,-5.303403,-4.5423727,-1.6788225,19.232742,-15.251035,0.478493,8.593454,-1.8635728,-0.3285017,6.903367,-19.262184,-7.965146,11.075348,-22.186361,12.763613,non_cough
0.391754150390625,5555.739561308965,3472.8636835648085,15.151291268560588,7761.037445068359,0.2167944,-332.74008,110.28764,-27.853828,-22.79914,-33.583412,-8.644163,2.159275,4.965172,-0.049021766,-2.4552274,4.5863895,8.884104,11.755873,7.513646,-0.34732687,-6.579609,-8.732077,-5.946622,-2.448443,2.0576153,3.653916,non_cough
0.0277130764211136,1047.495711737204,1620.9535482571291,16.63747256158588,1634.6249184309745,0.04494069,-314.35403,243.5656,-8.366682,-8.064447,-0.8206018,10.856597,-15.496903,3.8473117,-1.130574,-2.6697724,-6.9130344,1.5171764,-3.5650384,-0.4140412,1.3569534,5.8928657,4.8816366,3.5003963,3.8029056,0.63563967,0.88630366,non_cough
0.2394236438679245,5667.240629190932,2930.420339221183,14.456989158618724,8616.937831662735,0.027575908,-284.21762,36.473225,-99.643654,71.89418,-38.014492,19.09156,-12.687149,5.5594673,-2.4439127,5.2787595,8.261406,0.49609447,3.5107589,5.8383484,2.521986,2.0676281,2.0344348,-0.60489017,-0.36675406,-4.332573,-1.0929868,non_cough
0.0669696514423077,2556.6537481980067,3249.7174782551065,14.288127212630704,4579.946664663462,0.028500251,-361.29526,164.53662,-12.702099,-7.706999,-21.611118,-7.5309987,-3.9809418,4.366,2.2115135,7.5341816,-1.1096171,-3.4857903,6.4859433,-2.0498724,-1.7199016,-4.4282513,3.6794574,2.4200788,3.0664678,-2.5565271,7.2206583,non_cough
0.06435595460199,1602.8315679072782,1448.3910190760498,29.224523914276283,2257.558156483209,0.0850519,-418.44684,110.78888,-84.113815,-26.785366,-6.479335,-12.517484,-10.573924,4.35671,-20.12565,-12.276268,-8.718562,-10.741736,-2.6518123,-5.069775,-17.344692,-19.88226,-18.042046,-10.81416,8.603512,18.63551,46.693623,non_cough
0.0558258483033932,1896.575350978322,1479.252549620445,26.092511791057785,2980.199610544536,0.04559801,-401.80807,136.62616,-139.15942,-19.621376,-14.645952,-25.103855,-17.221268,-15.561377,-11.219598,-15.917807,-17.937069,-11.869451,-8.846107,-17.57603,-10.97511,-5.56988,-8.003334,0.18802264,9.586871,9.007799,8.404006,non_cough
0.0062766335227272,404.46216125943874,1024.7252508252234,22.54853973265024,690.8243075284091,0.11871877,-395.50894,153.86772,79.548836,18.69233,-1.2450097,7.1605554,17.048439,15.953147,9.189145,4.382777,1.7209646,-1.8172677,-5.21078,-4.6401134,-0.45340788,2.2165296,0.629984,-1.6914843,-0.30200425,3.5293581,4.3981247,non_cough
0.0789870654245531,2672.066876150277,2991.727628091322,19.420825797798223,4177.769725330245,0.017175196,-505.15356,104.32945,-38.193275,-31.799376,-20.646341,-3.443873,4.5192075,50.989845,44.818504,15.790555,-22.879494,-25.930271,4.8633356,7.7915134,1.6406163,-7.055237,3.646929,17.120468,7.6563888,5.114219,-1.4304807,non_cough
0.0206453649009146,1157.7292504035784,1607.163347529829,24.086974032659413,2051.930437785823,0.10126153,-345.80786,156.76425,-50.663788,1.4282532,5.281801,-14.217466,-15.302937,-15.950371,-10.402374,-21.974073,-23.108656,-17.162657,-17.966496,-11.269557,-5.3411007,-14.111222,-15.144624,-9.903454,-12.217765,-4.9110756,-3.330927,non_cough
